RunID,C2,R3,Rcl1,AvgFreq_Hz,Jitter_s,Stability,DutyCycle,Duty_Stability,PulseWidth_s,OnOffRatio,OnOff_Stability,Peak_uA,Low_uA,PulseCharge_C,Rejected,Plot,Charge_uC,Off_uA,ChargeDiff,Cluster
1344,11n,5M,605K,4.473035867981663,0.06222139281597942,0.5029614020185289,0.15705241049791122,0.23382455678023079,0.04167070071944587,27.702602211170753,0.07527620263317765,179.91940000000002,2.542598,5.9916108815083785e-06,True,"<a href=""waveforms/run_1344.html"" target=""_blank"">Plot</a>",5.991610881508379,2.542598,0.008389118491621161,2
1055,91n,1M,505K,2.3649470076355272,0.35201831743140066,0.44269608739599164,0.08431893148121695,0.7869338544495789,0.039520304169770634,16.44143994513469,0.06305442714633289,198.604,3.821005,6.010062710333231e-06,True,"<a href=""waveforms/run_1055.html"" target=""_blank"">Plot</a>",6.010062710333231,3.821005,0.010062710333230918,2
1063,61n,1.5M,505K,3.344515282462289,0.2013920009172278,0.5186124363503212,0.09401681536620304,0.7509275144734213,0.04029391718923461,19.52271215805786,0.08835780703064694,196.1723,3.505745,6.012507536681208e-06,True,"<a href=""waveforms/run_1063.html"" target=""_blank"">Plot</a>",6.012507536681208,3.505745,0.012507536681208187,2
641,21n,1.5M,305K,4.03541163930088,0.05472492540355002,0.24399428624431693,0.12427427815227772,0.33114184004764147,0.03466092013812419,20.105079461668165,0.07514836762757914,217.1547,5.23977,5.9802132215373725e-06,True,"<a href=""waveforms/run_641.html"" target=""_blank"">Plot</a>",5.9802132215373724,5.23977,0.019786778462627552,2
620,31n,10M,205K,1.9443785516315155,0.220739389853007,0.39294742963142865,0.05034730138869419,1.0379624827213318,0.036810791312902234,16.234489707017673,0.22984244945094232,209.9379,6.549217,6.0275246144368615e-06,True,"<a href=""waveforms/run_620.html"" target=""_blank"">Plot</a>",6.027524614436862,6.549217,0.02752461443686194,2
854,61n,1.5M,405K,3.2931201354906756,0.12086212442624995,0.3890900404093554,0.09163935305584969,0.6864274546366274,0.03901445155233712,17.95906521314627,0.1196514943353805,205.9704,4.163885,5.958696000249996e-06,True,"<a href=""waveforms/run_854.html"" target=""_blank"">Plot</a>",5.958696000249996,4.163885,0.04130399975000376,2
638,100n,1M,305K,2.768566979903742,0.19726806688919954,0.35849827374512344,0.07288309566602119,0.8120570022541761,0.0375513267060756,14.795689411755763,0.12110805845406132,219.5822,5.535047,6.0505605835048376e-06,True,"<a href=""waveforms/run_638.html"" target=""_blank"">Plot</a>",6.050560583504837,5.535047,0.050560583504837275,1
453,11n,2.5M,205K,4.176329102360494,0.05574554715365162,0.2802819003531925,0.12018274592676116,0.5236414318245061,0.03408861490596652,17.780030287968206,0.07845009230626329,224.1575,7.013158,6.057706392335313e-06,True,"<a href=""waveforms/run_453.html"" target=""_blank"">Plot</a>",6.057706392335313,7.013158,0.05770639233531316,1
852,41n,1.5M,405K,3.7576878385789394,0.09377866215115076,0.38098167926637183,0.11137433713516491,0.5328093987086833,0.03865459619254169,19.97096242869401,0.10341272558703231,206.1832,4.164197,6.061422930561366e-06,True,"<a href=""waveforms/run_852.html"" target=""_blank"">Plot</a>",6.061422930561366,4.164197,0.06142293056136605,1
1064,71n,1.5M,505K,2.972838909589378,0.16422338655509075,0.3909745936266744,0.09552557954319389,0.6314606545274867,0.04108509403495037,18.40357349809378,0.11791527985739116,196.116,3.50568,6.064021370218434e-06,True,"<a href=""waveforms/run_1064.html"" target=""_blank"">Plot</a>",6.064021370218434,3.50568,0.06402137021843401,1
