time	V(out1)
0.000000000000000e+00	1.333065e-01
9.999999999621423e-06	1.341125e-01
2.999999999975245e-05	1.344937e-01
5.510078509965894e-03	1.344611e-01
1.099015701993204e-02	1.344347e-01
1.647023552989818e-02	1.344146e-01
2.195031403986432e-02	1.344008e-01
2.743039254983046e-02	1.343931e-01
3.291047105979660e-02	1.343918e-01
3.839054956976273e-02	1.343966e-01
4.746197814117017e-02	1.343884e-01
5.653340671257760e-02	1.343802e-01
6.560483528398503e-02	1.343721e-01
7.467626385539247e-02	1.343641e-01
8.374769242679990e-02	1.343563e-01
9.281912099820733e-02	1.343485e-01
1.018905495696147e-01	1.343408e-01
1.019905495696145e-01	1.343407e-01
1.128191209981607e-01	1.343307e-01
1.236476924267069e-01	1.343216e-01
1.344762638552531e-01	1.343134e-01
1.453048352837993e-01	1.343060e-01
1.561334067123455e-01	1.342997e-01
1.669619781408917e-01	1.342942e-01
1.777905495694379e-01	1.342896e-01
1.813048352837154e-01	1.342887e-01
1.848191209979929e-01	1.342903e-01
1.883334067122704e-01	1.342944e-01
1.918476924265479e-01	1.343010e-01
1.953619781408255e-01	1.343102e-01
1.988762638551030e-01	1.343218e-01
2.023905495693805e-01	1.343359e-01
2.043905495693759e-01	1.343478e-01
2.065048352836567e-01	1.343608e-01
2.086191209979374e-01	1.343789e-01
2.107334067122182e-01	1.344020e-01
2.128476924264990e-01	1.344301e-01
2.149619781407798e-01	1.344632e-01
2.170762638550606e-01	1.345013e-01
2.191905495693414e-01	1.345445e-01
2.207762638550519e-01	1.345816e-01
2.223619781407626e-01	1.346272e-01
2.239476924264731e-01	1.346814e-01
2.255334067121837e-01	1.347440e-01
2.271191209978943e-01	1.348153e-01
2.287048352836049e-01	1.348950e-01
2.302905495693155e-01	1.349833e-01
2.313191209978845e-01	1.350456e-01
2.323476924264536e-01	1.351182e-01
2.333762638550226e-01	1.352010e-01
2.344048352835916e-01	1.352941e-01
2.354334067121606e-01	1.353975e-01
2.364619781407297e-01	1.355112e-01
2.374905495692987e-01	1.356352e-01
2.375905495692985e-01	1.357250e-01
2.376905495692982e-01	1.359829e-01
2.377905495692980e-01	1.364942e-01
2.378905495692978e-01	1.372655e-01
2.380905495692973e-01	1.393522e-01
2.382905495692969e-01	1.417651e-01
2.384905495692964e-01	1.442260e-01
2.387905495692957e-01	1.477734e-01
2.390905495692950e-01	1.510442e-01
2.393619781407229e-01	1.536987e-01
2.396334067121509e-01	1.561668e-01
2.399048352835788e-01	1.584485e-01
2.401762638550067e-01	1.605437e-01
2.404476924264347e-01	1.624526e-01
2.407191209978626e-01	1.641750e-01
2.409905495692906e-01	1.657110e-01
2.415762638550035e-01	1.685515e-01
2.421619781407164e-01	1.710860e-01
2.427476924264293e-01	1.733144e-01
2.433334067121422e-01	1.752369e-01
2.439191209978551e-01	1.768533e-01
2.445048352835681e-01	1.781637e-01
2.450905495692810e-01	1.791681e-01
2.468619781407055e-01	1.812273e-01
2.486334067121299e-01	1.827506e-01
2.504048352835543e-01	1.837381e-01
2.521762638549788e-01	1.841898e-01
2.539476924264032e-01	1.841058e-01
2.557191209978277e-01	1.834858e-01
2.574905495692521e-01	1.823301e-01
2.605476924263878e-01	1.801867e-01
2.636048352835236e-01	1.777268e-01
2.666619781406593e-01	1.749503e-01
2.697191209977950e-01	1.718574e-01
2.727762638549308e-01	1.684479e-01
2.758334067120665e-01	1.647219e-01
2.788905495692022e-01	1.606793e-01
2.806762638549123e-01	1.582974e-01
2.824619781406225e-01	1.558389e-01
2.842476924263326e-01	1.533037e-01
2.860334067120427e-01	1.506918e-01
2.878191209977529e-01	1.480033e-01
2.896048352834630e-01	1.452382e-01
2.913905495691731e-01	1.423963e-01
2.924048352834565e-01	1.407412e-01
2.934191209977398e-01	1.390427e-01
2.944334067120232e-01	1.373007e-01
2.954476924263065e-01	1.355152e-01
2.964619781405898e-01	1.336863e-01
2.974762638548732e-01	1.318139e-01
2.984905495691565e-01	1.298981e-01
2.992191209977263e-01	1.284883e-01
2.999476924262960e-01	1.270316e-01
3.006762638548657e-01	1.255279e-01
3.014048352834355e-01	1.239772e-01
3.021334067120052e-01	1.223796e-01
3.028619781405749e-01	1.207350e-01
3.035905495691447e-01	1.190435e-01
3.040334067120008e-01	1.179816e-01
3.044762638548569e-01	1.168813e-01
3.049191209977130e-01	1.157427e-01
3.053619781405691e-01	1.145657e-01
3.058048352834252e-01	1.133503e-01
3.062476924262813e-01	1.120966e-01
3.066905495691374e-01	1.108044e-01
3.067905495691372e-01	1.105024e-01
3.071476924262792e-01	1.094189e-01
3.075048352834213e-01	1.082730e-01
3.078619781405633e-01	1.070649e-01
3.082191209977053e-01	1.057945e-01
3.085762638548473e-01	1.044619e-01
3.089334067119894e-01	1.030670e-01
3.092905495691314e-01	1.016098e-01
3.095048352834166e-01	1.006923e-01
3.097191209977018e-01	9.971079e-02
3.099334067119870e-01	9.866528e-02
3.101476924262722e-01	9.755575e-02
3.103619781405574e-01	9.638220e-02
3.105762638548427e-01	9.514464e-02
3.107905495691279e-01	9.384307e-02
3.110905495691272e-01	9.178307e-02
3.112905495691267e-01	9.024227e-02
3.114905495691263e-01	8.852191e-02
3.116905495691258e-01	8.655863e-02
3.117905495691256e-01	8.545502e-02
3.118905495691253e-01	8.424444e-02
3.119905495691251e-01	8.289696e-02
3.120905495691249e-01	8.136643e-02
3.121905495691246e-01	7.957447e-02
3.122905495691244e-01	7.736565e-02
3.123905495691242e-01	7.423815e-02
3.124905495691239e-01	6.977084e-02
3.125030495691243e-01	6.891611e-02
3.125061745691244e-01	6.861303e-02
3.125124245691246e-01	6.775491e-02
3.125253151941250e-01	6.545527e-02
3.125260964441248e-01	6.548832e-02
3.125276589441244e-01	6.617213e-02
3.125280495691243e-01	6.663957e-02
3.125281472253745e-01	6.683336e-02
3.125283425378749e-01	6.744479e-02
3.125287331628748e-01	6.938409e-02
3.125288308191250e-01	7.039516e-02
3.125290261316254e-01	7.385208e-02
3.125290749597500e-01	7.555396e-02
3.125291726160002e-01	8.122290e-02
3.125291970300630e-01	8.388088e-02
3.125292458581876e-01	9.244627e-02
3.125292580652186e-01	9.621367e-02
3.125292824792814e-01	1.078467e-01
3.125292885827973e-01	1.125428e-01
3.125293007898282e-01	1.261128e-01
3.125293038415862e-01	1.308989e-01
3.125293099451021e-01	1.443591e-01
3.125293174180079e-01	1.645466e-01
3.125293241702272e-01	1.813176e-01
3.125293317135363e-01	1.922434e-01
3.125293369661568e-01	1.947526e-01
3.125293422499880e-01	1.949637e-01
3.125293486357323e-01	1.937466e-01
3.125293551255020e-01	1.901025e-01
3.125293617371314e-01	1.863614e-01
3.125293675216012e-01	1.872141e-01
3.125293742420681e-01	1.930825e-01
3.125293876830018e-01	2.065828e-01
3.125293989546849e-01	2.136873e-01
3.125294135278720e-01	2.169951e-01
3.125294313015878e-01	2.180487e-01
3.125294611371565e-01	2.183027e-01
3.125295002692701e-01	2.183331e-01
3.125295785334972e-01	2.183595e-01
3.125297350619505e-01	2.184153e-01
3.125300481188580e-01	2.185253e-01
3.128385708363849e-01	3.228091e-01
3.131470935539119e-01	4.217051e-01
3.134556162714389e-01	5.152134e-01
3.137641389889658e-01	6.033340e-01
3.140726617064927e-01	6.860669e-01
3.143811844240197e-01	7.634120e-01
3.146897071415466e-01	8.353694e-01
3.151468499986884e-01	9.335979e-01
3.156039928558302e-01	1.024853e+00
